Transaction ID,Date,Month,Day,Year,Spending Category,Revenue,Amount Spent,Net Cash Flow,Monthly Budget,Monthly Budget Remaining,Budget Used %,Expense Description,Vendor Name,Vendor City,Vendor State,DMV Local Vendor,Vendor Ownership Classification,Invoice Number,Invoice Date,Payment Due Date,Payment Date,Payment Status,Days to Pay,On-Time Payment,Approval Required,Approval Status,Approver,Receipt Attached,Categorization Status,Automation Status,Duplicate Flag,Large Expense Flag,Category Anomaly Flag,Budget Alert,Review Required,Fair Operations Note,Invoice Reminder Sent,Monthly Report Included
TXN-2026-0001,01/01/2026,1,1,2026,Software & Subscriptions,14613.48,1288.75,13324.73,100000.00,98711.25,0.0129,Cybersecurity tools,Blue Ridge Digital Tools,Arlington,VA,Yes,Veteran-Owned,INV-0101-0001,12/28/2025,01/27/2026,12/30/2025,Paid On Time,2,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Veteran-Owned,No,Yes
TXN-2026-0002,01/02/2026,1,2,2026,Equipment,12425.97,554.27,11871.70,100000.00,98156.98,0.0184,Point-of-sale equipment,Commonwealth Equipment Co.,Alexandria,VA,Yes,Not Disclosed,INV-0102-0002,01/02/2026,02/01/2026,01/07/2026,Paid On Time,5,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0003,01/03/2026,1,3,2026,Utilities,7369.66,1231.87,6137.79,100000.00,96925.11,0.0307,Internet and phone service,Dominion Energy Virginia,Richmond,VA,Yes,Woman-Owned,INV-0103-0003,12/31/2025,01/15/2026,01/19/2026,Paid Late,19,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0004,01/04/2026,1,4,2026,Equipment,8168.68,2100.77,6067.91,100000.00,94824.34,0.0518,Networking hardware,Commonwealth Equipment Co.,Alexandria,VA,Yes,Not Disclosed,INV-0104-0004,01/04/2026,02/03/2026,01/14/2026,Paid On Time,10,Yes,Yes,Approved,Taylor Johnson,No,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,No,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0005,01/05/2026,1,5,2026,Marketing,13824.52,3678.45,10146.07,100000.00,91145.89,0.0885,Community outreach materials,Arlington Media Lab,Arlington,VA,Yes,Woman-Owned,INV-0105-0005,01/04/2026,01/19/2026,02/08/2026,Paid Late,35,No,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0006,01/06/2026,1,6,2026,Software & Subscriptions,12562.50,872.98,11689.52,100000.00,90272.91,0.0973,Cybersecurity tools,Capital Cloud Systems,Washington,DC,Yes,Veteran-Owned,INV-0106-0006,01/04/2026,02/03/2026,02/08/2026,Paid Late,35,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0007,01/07/2026,1,7,2026,Payroll,16083.74,1916.66,14167.08,100000.00,88356.25,0.1164,Operations team payroll,Internal Payroll,Washington,DC,Yes,Woman-Owned,INV-0107-0007,01/06/2026,01/21/2026,02/10/2026,Paid Late,35,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0008,01/08/2026,1,8,2026,Software & Subscriptions,13463.51,3903.15,9560.36,100000.00,84453.10,0.1555,Monthly software licenses,Capital Cloud Systems,Washington,DC,Yes,Not Disclosed,INV-0108-0008,01/03/2026,02/17/2026,02/12/2026,Paid On Time,40,Yes,Yes,Approved,Taylor Johnson,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,Yes,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0009,01/09/2026,1,9,2026,Office Supplies,15106.82,516.42,14590.40,100000.00,83936.68,0.1606,General office supplies,Montgomery Office Market,Rockville,MD,Yes,Not Disclosed,INV-0109-0009,01/06/2026,02/05/2026,01/19/2026,Paid On Time,13,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0010,01/10/2026,1,10,2026,Travel,6849.38,2834.69,4014.69,100000.00,81101.99,0.1890,Regional conference travel,DMV Mobility Partners,College Park,MD,Yes,Disability-Owned,INV-0110-0010,01/08/2026,02/22/2026,02/15/2026,Paid On Time,38,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,Yes,No,Yes,Local DMV vendor; voluntarily identified as Disability-Owned,No,Yes
